10000 2
0.41469 1.15611 0.764254
6.11354 2.67035 -0.820805
4.42965 2.6892 -0.20813
5.36584 3.76363 0.219256
4.53646 0.188496 0.306699
2.26823 0.314159 -0.226769
2.26823 3.18557 -0.409432
3.57513 2.10487 -0.0144331
1.28177 0.603186 0.725944
0.464956 3.20442 0.539737
1.95407 3.26097 -0.165511
5.48522 1.56451 -0.228772
1.75929 1.58965 -0.185512
4.01496 5.20876 0.248295
3.85788 1.54566 0.521639
3.51858 4.27885 0.728902
4.91345 5.56062 -0.423212
0.666018 5.27788 0.221585
4.1846 1.96035 0.00199527
2.75832 2.43788 -0.877529
2.14885 5.02655 -0.60696
2.75204 0.351858 -0.0165835
4.14062 2.25566 -0.143664
2.45673 5.42867 -0.805686
2.85885 5.13336 -0.449171
4.56159 0.741416 0.582312
2.11115 3.76363 0.00351811
2.30593 3.87044 -0.0683107
5.35327 2.24938 -0.748779
5.01398 5.14593 -0.335857
3.80133 4.46106 0.698013
5.35327 4.64327 -0.199973
5.95646 1.94779 -0.662204
3.63796 3.85788 0.954305
3.90814 0.119381 0.548595
0.0125664 6.06327 -0.346968
1.07442 4.97628 0.270193
0.131947 5.22133 -0.0782371
3.16044 4.80035 0.0645022
0.29531 6.02557 -0.0796134
5.8685 4.8569 -0.471301
0.483805 3.90814 0.818177
2.33734 5.0077 -0.655717
3.71336 3.6254 0.943604
0.973894 4.65584 0.473203
2.48814 4.77522 -0.524812
5.0454 1.55823 -0.084602
5.35327 4.71867 -0.249755
3.50602 2.70805 0.0131057
2.29336 3.34265 -0.259508
5.03911 4.51761 0.0162436
3.12274 2.04832 -0.366989
5.42239 5.46637 -0.632986
3.19814 2.30593 -0.393553
6.2015 3.49345 -0.038982
4.26 1.71531 0.187503
2.06717 4.7438 -0.420217
5.62345 0.333009 0.0396664
5.68 5.26531 -0.638424
6.17009 0.376991 0.0237502
3.63796 4.58673 0.591078
1.08071 4.61814 0.452507
2.07345 0.150796 -0.280572
3.05363 5.57947 -0.375604
2.86513 1.28177 0.0653572
2.64522 1.62106 -0.45755
5.79938 1.69646 -0.410564
5.88106 0.873363 0.126073
3.09761 2.79602 -0.293745
3.17929 3.01593 0.034383
0.00628319 1.15611 0.381679
0.659734 4.28513 0.711546
1.82841 0 -0.215503
0.55292 1.2315 0.789066
1.20009 0.439823 0.708293
1.6085 0.766549 0.457445
5.03283 2.6892 -0.550078
5.38469 0.823097 0.223678
5.05796 2.16142 -0.608981
2.33734 1.63991 -0.580262
5.65487 0.911062 0.151027
5.47265 5.17106 -0.539451
4.8192 5.07681 -0.194283
1.97292 1.63363 -0.41961
3.80133 5.15221 0.316055
0.578053 3.81389 0.873722
0.0251327 1.23779 0.354757
4.02752 4.0715 0.870681
3.45575 4.58044 0.494506
5.30301 4.65584 -0.190201
0.955044 2.84 0.196419
5.42239 1.91637 -0.550551
1.4577 0.458673 0.50083
2.73947 0.232478 -0.120851
