10000 2
2.40646 5.5669 -0.992706
4.88203 5.74911 -0.604563
4.98257 2.10487 -0.695373
2.42531 3.09133 -0.545412
4.07779 2.64522 0.0586683
2.27451 0.169646 -0.326933
4.3354 0.370708 0.67994
4.79407 5.81823 -0.482102
3.39292 2.67664 -0.159907
1.08071 4.62442 0.502809
1.32575 2.31221 -0.262715
3.56257 2.69549 -0.0162606
4.91345 3.33009 -0.0116246
5.41611 0.772832 0.00649912
0.420973 0.84823 0.869028
5.83708 5.03911 -0.693196
0.13823 0.364425 0.469482
0.43354 1.04929 0.813183
2.46929 2.86513 -0.749851
0.069115 0.263894 0.320707
1.43885 2.34363 -0.369421
2.64522 5.77425 -0.844261
4.92602 3.37407 0.0170038
1.24407 2.03575 -0.0968183
1.9792 2.32478 -0.863498
2.59496 3.30496 -0.283596
0.57177 6.15752 0.330708
6.00673 5.48522 -0.762429
5.41611 1.06814 -0.071179
6.25805 1.76558 -0.215012
1.91637 5.81195 -0.72322
0.527788 2.0546 0.0233256
2.11115 3.17301 -0.40975
5.31557 4.58044 -0.336744
1.96664 5.38469 -0.843031
0.779115 5.62345 0.0156689
3.65681 3.42434 0.696677
5.11451 2.30593 -0.85763
2.7269 2.28708 -0.863987
0.270177 4.71239 0.25722
0.546637 5.07681 0.111062
1.73416 1.11841 0.232672
4.95115 3.66938 0.205302
2.53212 4.09035 0.00418222
4.73752 2.50699 -0.502554
5.85593 0.376991 -0.0348521
4.24743 2.31221 -0.0972833
4.64327 0.0753982 0.144008
1.42 3.68195 0.589666
0.590619 3.38664 0.697891
4.99513 3.58142 0.117343
2.7269 2.37504 -0.868401
2.93425 3.77619 0.275979
0.609469 5.66743 -0.00212834
1.99177 3.09133 -0.423151
4.09664 4.75009 0.433832
1.89124 1.75929 -0.483015
1.79699 2.77088 -0.556224
5.43496 4.32911 -0.149231
2.78973 3.88929 0.175051
2.7646 4.58044 -0.211853
0.194779 0.735133 0.687365
0.609469 4.84434 0.338946
3.02221 4.24115 0.286259
4.45478 5.82451 -0.150632
3.56257 5.37841 -0.112845
3.12274 2.21796 -0.499859
3.68195 6.06327 0.228256
1.92265 4.29142 0.0494426
1.37602 3.92071 0.68985
3.31752 5.47265 -0.327047
4.59929 5.20876 -0.306629
3.16044 0.119381 0.137095
1.69646 2.31221 -0.622412
4.4485 4.49248 0.464701
2.13628 0.936195 0.0250187
5.00142 4.54274 -0.106787
3.88301 1.53938 0.529462
5.31557 2.83372 -0.755951
5.78681 3.48717 -0.100052
2.38133 3.06619 -0.574481
4.80035 1.43257 0.0489644
5.28416 2.19911 -0.930581
1.21265 3.14159 0.328293
0.213628 4.80035 0.119676
0.779115 5.74283 0.0588149
6.2015 5.37841 -0.567134
4.66841 3.08504 -0.0125026
1.42628 2.29336 -0.353548
5.39726 5.88106 -0.850082
2.71434 3.46204 -0.0781732
2.74575 1.43257 -0.219292
1.72788 2.55726 -0.614624
2.97823 0.760265 0.338897
5.39097 2.48186 -0.972926
0.182212 1.48911 0.259525
1.47655 4.98257 -0.163529
5.13965 2.6892 -0.77027
0.898495 0.069115 0.556159
5.8308 3.32381 -0.214938
4.87575 2.53841 -0.627636
2.78345 4.79407 -0.409611
3.85159 3.38035 0.724116
3.80761 5.27788 0.0334023
5.68 5.13965 -0.84429
0.804248 4.32283 0.85097
2.3185 5.76168 -0.930541
5.76168 6.25805 -0.457084
2.03575 4.66841 -0.356858
2.9531 1.14982 0.188908
3.07876 3.13531 -0.0689496
4.85062 4.55531 0.0180325
4.04637 3.70708 0.938229
3.17301 0.873363 0.523677
5.99416 4.93858 -0.491755
4.20345 0.515221 0.854261
3.40549 2.9154 0.0332537
1.23779 3.18557 0.352855
2.23053 5.05168 -0.798137
2.18655 3.83903 0.0207869
3.90814 5.20248 0.0843468
1.87867 2.15513 -0.748902
4.68726 3.56885 0.402248
2.13628 2.6515 -0.867711
1.95407 5.08938 -0.6891
3.80133 5.03283 0.185339
4.15319 4.58673 0.574048
5.51664 1.91637 -0.818357
2.01062 4.62442 -0.297745
2.78973 3.93327 0.176433
3.27982 2.92168 -0.0764137
4.4485 2.61381 -0.18328
1.77186 1.62106 -0.245868
5.80566 4.00239 0.0861562
0.389557 3.92071 0.851286
3.76991 0.226195 0.694086
2.84 5.64858 -0.761067
2.38133 3.45575 -0.205476
2.94053 0.446106 0.193544
6.11354 0.823097 0.33217
5.53549 5.84336 -0.883836
5.86221 5.61717 -0.858786
4.1469 1.02416 0.896482
1.25035 6.1638 0.180703
5.64858 6.25805 -0.502554
6.02557 4.8569 -0.388873
5.10823 4.19717 0.0729955
1.19381 0.596903 0.807162
5.81823 2.92796 -0.607971
0.527788 2.13628 -0.0173216
0.565487 4.2977 0.82117
2.36248 3.40549 -0.248149
5.88106 0.672301 0.127109
2.79602 4.75009 -0.356375
1.12469 2.62637 -0.0395322
5.57319 2.58867 -0.941247
2.18655 1.08071 -0.0561973
4.14062 0.0565487 0.511481
2.11115 1.31947 -0.200269
2.14885 3.68823 -0.0135524
1.29434 1.89124 -0.0363652
4.47991 2.33734 -0.275453
2.0169 1.60221 -0.420626
5.14593 3.76363 0.0923279
4.53018 5.68 -0.288959
5.89991 5.09566 -0.693653
5.90619 4.19088 0.0896882
4.42965 1.43257 0.404389
0.797965 0.942478 0.97537
6.18265 4.13434 0.357766
5.78053 1.40743 -0.261692
2.6515 1.69018 -0.533547
2.48814 0.508938 -0.0571936
3.95841 0.527788 0.934105
1.83469 6.10726 -0.424133
4.2223 5.34071 -0.0602303
3.92699 2.41903 0.00394265
1.39487 1.87867 -0.116465
4.02124 0.263894 0.742955
5.6423 4.47991 -0.255069
1.87239 1.19381 0.0586391
3.29239 3.70708 0.600934
1.31319 3.65053 0.671861
5.14593 2.11115 -0.822367
4.59929 0.973894 0.577024
6.24549 0.0251327 -0.0125412
2.38133 4.83177 -0.617618
1.71531 4.87575 -0.302981
5.34071 1.60221 -0.506924
5.40354 0.892212 -0.00250956
3.63796 5.55434 -0.0780416
6.2392 1.28805 0.223988
3.90186 3.56257 0.872339
3.16673 3.85159 0.519448
6.03814 4.73752 -0.260474
2.04832 1.62734 -0.464598
5.93133 1.2692 -0.0398935
1.2692 3.17929 0.321298
4.92602 0.131947 -0.076767
5.29044 5.4538 -0.955687
3.31752 1.18752 0.519148
5.47894 5.70513 -0.957265
6.01929 3.12903 -0.264377
0.226195 5.07681 -0.114448
4.73124 1.55823 -0.00628004
1.90381 2.0923 -0.740892
0.835664 4.0715 0.976736
5.59203 4.73752 -0.516266
3.56257 4.68726 0.398093
2.31221 3.32381 -0.319861
3.14159 0.289027 0.273197
4.95115 5.0077 -0.508228
1.56451 6.22035 -0.0563836
1.90381 0.207345 -0.107477
2.2808 3.12274 -0.513171
1.58965 5.6046 -0.507479
4.31027 0.785398 0.860155
0.955044 6.25805 0.446373
6.12611 1.18124 0.196816
0.98646 4.58044 0.590537
2.73947 2.89027 -0.601031
2.60124 5.78681 -0.85991
2.89027 1.91009 -0.554723
0.175929 0.169646 0.338731
0.314159 4.69982 0.306458
3.49345 5.66743 -0.147967
4.98885 4.37938 0.0463425
4.39195 0.270177 0.556172
0.245044 0.0125664 0.247917
2.6892 2.53212 -0.862511
3.14159 4.27885 0.381221
4.06522 3.38035 0.710804
0.999026 0.948761 0.928602
3.3615 0.841947 0.709695
2.13 4.34796 -0.116697
1.35088 0.797965 0.712732
3.16673 3.95212 0.524491
0.307876 6.05699 0.0702285
1.79071 2.69549 -0.602121
2.15513 2.10487 -0.898269
1.11212 5.65487 -0.0785331
1.4954 6.10097 -0.103093
5.96274 1.81584 -0.534304
2.30593 6.20779 -0.572588
1.83469 4.99513 -0.519725
4.66841 0.904779 0.529741
5.20876 2.45044 -0.909908
4.28513 2.13628 -0.0752878
3.3992 3.57513 0.627585
5.18991 1.4577 -0.296034
1.63991 0.263894 0.182916
2.26195 0.735133 0.00633188
0.144513 4.7815 0.0736145
0.508938 1.9415 0.0878308
1.19381 2.67035 -0.0622349
6.25805 2.30593 -0.522598
4.25372 1.47027 0.49685
4.3354 3.93327 0.842234
3.29239 0.358142 0.476814
3.85788 1.05558 0.923994
1.28805 2.24938 -0.220721
1.96035 2.42531 -0.846556
0.628319 2.17398 0.00836379
4.56159 6.24549 0.110857
5.7554 3.46832 -0.131127
3.63168 3.32381 0.593504
5.94389 1.82212 -0.554723
4.06522 6.09469 0.296952
0.320442 0.502655 0.721116
3.96469 3.72593 0.958695
5.38469 3.93956 0.0125787
1.96035 5.5669 -0.846556
1.3446 2.23053 -0.265734
3.21699 0.565487 0.527526
2.58867 3.00965 -0.577341
3.83274 6.08841 0.301254
1.18752 1.72159 0.198306
2.23053 4.02752 0.00563595
3.89557 2.72062 0.126043
6.2015 5.57947 -0.574662
2.12372 3.55628 -0.0781642
4.83805 1.78442 -0.331533
5.37841 2.62009 -0.917778
3.80761 1.63363 0.423149
5.33442 1.48911 -0.392231
1.28805 0.370708 0.60558
1.36345 3.25469 0.313589
5.93761 4.91973 -0.520165
5.48522 2.8777 -0.751654
5.48522 4.00239 -0.00551622
1.81584 3.03478 -0.341356
3.81389 3.00336 0.350787
4.75637 1.97292 -0.40408
2.95938 4.58044 -0.0477852
0.628319 2.88398 0.229165
3.88301 2.75204 0.146742
0.15708 2.43788 -0.338834
0.464956 1.46398 0.506787
0.98646 4.27885 0.841337
3.09761 2.24938 -0.53256
1.69646 4.39195 0.174608
2.62009 5.27159 -0.881664
3.57513 2.2808 -0.113105
3.90814 4.98885 0.237057
1.08699 5.32186 -0.0576006
2.70805 2.90283 -0.611011
4.28513 2.45044 -0.114018
1.83469 4.97 -0.498175
0.358142 0.722566 0.82435
3.27354 0.98646 0.590537
3.60655 3.08504 0.344355
5.95018 5.97531 -0.597716
1.45142 0.131947 0.24867
3.37407 4.64956 0.286858
0.339292 0.188496 0.497908
0.615752 2.04204 0.0669868
0.508938 3.24212 0.525352
3.24212 0.0125664 0.11242
1.45142 0.873363 0.610532
5.00142 2.53841 -0.740362
2.12372 3.64425 -0.0247567
1.36973 0.131947 0.326108
6.09469 5.41611 -0.677405
5.10195 2.38133 -0.850693
6.13867 4.30398 0.221975
3.36779 5.68 -0.248607
1.10584 3.03478 0.29478
1.30062 4.76894 0.200792
5.38469 4.67469 -0.4496
3.13531 5.72398 -0.455986
0.797965 5.96903 0.205949
1.48283 3.51858 0.429785
5.13965 0.659734 0.107166
3.53743 0.307876 0.644554
1.5331 4.46734 0.273015
5.05796 5.8685 -0.687469
1.82841 2.35619 -0.746364
6.00044 3.85788 0.227317
3.7008 4.82549 0.337567
6.2392 5.76796 -0.472689
5.05796 5.54177 -0.816779
5.16478 6.17009 -0.50528
4.50504 0.188496 0.385515
0.584336 3.60655 0.860899
0.791681 3.72593 0.960076
3.05363 1.58965 -0.106357
3.41177 0.464956 0.658003
5.11451 4.47991 -0.135963
1.12469 2.36876 -0.110611
4.78779 4.86947 -0.229621
0.55292 5.77425 0.0214235
4.46106 4.59929 0.353012
1.84726 0.106814 -0.156584
2.17398 1.47655 -0.373474
0.860796 4.34168 0.831992
0.961327 5.92504 0.141074
3.60027 2.06088 -0.0183028
5.81195 1.82841 -0.650872
4.46106 0.113097 0.353012
1.36345 5.25274 -0.239692
6.05071 0.345575 0.0945204
0.565487 5.39097 -0.0362205
0.816814 5.68 0.0318489
3.5877 4.15319 0.838934
3.97726 4.30398 0.86196
4.95743 0.458673 0.161643
3.79504 5.34699 0.00525855
5.05796 1.5708 -0.318712
5.4538 3.16044 -0.479222
3.04734 0.0376991 -0.0560273
1.22522 4.01496 0.810994
5.96274 0.753982 0.200061
6.07584 1.42 -0.0529324
4.79407 4.25372 0.315677
3.74478 6.1638 0.348915
5.43496 3.51858 -0.153784
0.226195 6.00044 -0.0493555
4.83805 3.25469 -0.0122096
1.32575 2.14885 -0.222269
3.34265 1.2315 0.509533
2.38133 2.0169 -0.8886
1.69646 6.18265 -0.2242
1.08071 2.68292 0.0183028
1.47027 0.251327 0.340732
1.77814 0.452389 0.191691
2.50071 5.21504 -0.901425
0.395841 2.18027 -0.113599
5.96903 0.188496 -0.10983
3.60027 4.48619 0.615553
0.370708 3.27982 0.474142
0.29531 5.80566 -0.129732
0.515221 2.73319 0.064279
1.4577 1.28177 0.385333
5.99416 2.78345 -0.60149
5.6423 3.05363 -0.566772
4.02124 1.74673 0.318822
0.999026 1.64619 0.37994
1.64619 4.29142 0.297858
0.257611 5.32814 -0.225132
4.54274 2.03575 -0.234374
1.70903 0.766549 0.363169
0.967611 2.10487 0.0290111
5.1585 2.87142 -0.646451
2.29336 4.69354 -0.477212
1.07442 4.87575 0.258292
1.69018 1.36973 0.0774373
4.40451 4.41708 0.567224
4.10292 5.86221 0.0963964
5.69885 6.02557 -0.70648
4.57416 5.06425 -0.187052
5.0077 4.52389 -0.0943755
0.527788 1.93522 0.102086
2.09858 4.38566 -0.131127
6.22664 2.36248 -0.556389
5.6423 4.49248 -0.266371
0.326726 1.07442 0.722729
1.18752 3.5123 0.684493
3.17929 0.0628319 0.10033
0.100531 1.40743 0.260327
0.684867 3.38664 0.725279
0 2.37504 -0.499645
0.684867 0.333009 0.798857
0.508938 0.716283 0.920728
2.12372 6.21407 -0.515816
2.67664 0.420973 -0.0278129
0.923628 1.40115 0.647424
4.94487 1.45142 -0.105942
3.34265 0.766549 0.695332
1.76558 5.49779 -0.68989
5.34071 1.12469 -0.0862971
3.70708 1.59593 0.427291
2.19911 0.823097 0.0230512
5.10823 5.38469 -0.843031
3.10389 1.13726 0.343558
0.508938 3.78876 0.906511
4.52389 2.72062 -0.188908
6.17009 1.13726 0.269086
